state,FIPS,unemployment,incomeLevel,votes Dem percent, votes Rep percent
AK,2013,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2016,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2020,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2050,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2060,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2068,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2070,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2090,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2100,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2105,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2110,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2122,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2130,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2150,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2164,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2170,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2180,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2185,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2188,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2195,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2198,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2220,LOW,NORMAL,0.37715947248041265,0.5288700180057424
AK,2230,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2240,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2261,HIGH,NORMAL,0.37715947248041265,0.5288700180057424
AK,2275,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2282,HIGH,LOW,0.37715947248041265,0.5288700180057424
AK,2290,HIGH,LOW,0.37715947248041265,0.5288700180057424
AL,1001,LOW,LOW,0.23956854953164916,0.7343578930294797
AL,1003,LOW,LOW,0.19565309809756615,0.773514719948985
AL,1005,HIGH,LOW,0.46660250240615975,0.5227141482194417
AL,1007,HIGH,LOW,0.21422039323273892,0.7696616369455875
AL,1009,LOW,LOW,0.08469902300661834,0.8985187519697447
AL,1011,HIGH,LOW,0.7509040629653265,0.24228887470750904
AL,1013,HIGH,LOW,0.4278641335636154,0.5631548647092689
AL,1015,HIGH,LOW,0.27855876393110435,0.6923969942586964
AL,1017,LOW,LOW,0.4182755116852954,0.5663376397154885
AL,1019,LOW,LOW,0.14510139960011426,0.8387127487384557
AL,1021,LOW,LOW,0.1593536017529444,0.8254176937825254
AL,1023,HIGH,LOW,0.4277655476059439,0.5643918547055586
AL,1025,HIGH,LOW,0.44155844155844154,0.5495516388373531
AL,1027,HIGH,LOW,0.18776628119293975,0.795800365185636
AL,1029,HIGH,LOW,0.10471524800979792,0.8784445805266381
AL,1031,LOW,LOW,0.20445571101252863,0.7714619997075025
AL,1033,HIGH,LOW,0.2962722325996914,0.6788759847315845
AL,1035,HIGH,LOW,0.469050894085282,0.5216261653675683
AL,1037,HIGH,LOW,0.34080030633735403,0.6463718169634309
AL,1039,HIGH,LOW,0.15039828044000506,0.8358831710709318
AL,1041,LOW,LOW,0.2659948816378759,0.7215291106845809
AL,1043,LOW,LOW,0.10005901604163313,0.878105048554107
AL,1045,LOW,LOW,0.23677284202610518,0.7411505613149272
AL,1047,HIGH,LOW,0.6847837693539776,0.30880939668980245
AL,1049,HIGH,LOW,0.14114850877865523,0.8348922793835774
AL,1051,LOW,LOW,0.228586912342501,0.7483809781872375
AL,1053,HIGH,LOW,0.3088148294222047,0.6758693222901466
AL,1055,LOW,LOW,0.23807333118645627,0.7391084326263974
AL,1057,HIGH,LOW,0.16569058077110785,0.818081991215227
AL,1059,LOW,LOW,0.1837724801338352,0.7918025930572982
AL,1061,LOW,LOW,0.13054292820996655,0.8548760614117848
AL,1063,HIGH,LOW,0.8239407651172357,0.17235705470999588
AL,1065,HIGH,LOW,0.5957553058676655,0.39600499375780274
AL,1067,HIGH,LOW,0.28514406885368593,0.7013845578146439
AL,1069,LOW,LOW,0.250939804901261,0.727266238401142
AL,1071,HIGH,LOW,0.17623286023574694,0.8007216742843397
AL,1073,LOW,LOW,0.5224931147043718,0.45022077756444945
AL,1075,LOW,LOW,0.14932910113980666,0.8395613908526908
AL,1077,HIGH,LOW,0.25447659289413344,0.7145801664390797
AL,1079,HIGH,LOW,0.24693975244477878,0.7339123298912672
AL,1081,LOW,LOW,0.3639280016647014,0.5951480890615246
AL,1083,LOW,LOW,0.23705583756345178,0.7315736040609137
AL,1085,HIGH,LOW,0.731276213301378,0.262282804074296
AL,1087,HIGH,LOW,0.8272748056698674,0.15935070873342477
AL,1089,LOW,NORMAL,0.3915082803985628,0.5593360631580268
AL,1091,HIGH,LOW,0.5121483375959079,0.47716477895506026
AL,1093,HIGH,LOW,0.11090458488228006,0.8730638166047088
AL,1095,LOW,LOW,0.14051194051194052,0.8356070356070356
AL,1097,HIGH,LOW,0.41881545043363305,0.5574923341514318
AL,1099,HIGH,LOW,0.42317133038782523,0.5666175748649975
AL,1101,LOW,LOW,0.6203633210675464,0.3587531193164996
AL,1103,LOW,LOW,0.22436038486927648,0.7479746354343781
AL,1105,HIGH,LOW,0.7274976213130352,0.26698382492863937
AL,1107,HIGH,LOW,0.4183694965241205,0.574468085106383
AL,1109,HIGH,LOW,0.3868714011516315,0.5897120921305182
AL,1111,LOW,LOW,0.22606120434353405,0.759822309970385
AL,1113,LOW,LOW,0.5004703177257525,0.4812918060200669
AL,1117,LOW,NORMAL,0.23110031449076687,0.7342754616563181
AL,1115,LOW,LOW,0.1462951735772465,0.8324063579091652
AL,1119,HIGH,LOW,0.7415115005476451,0.24737912689719918
AL,1121,HIGH,LOW,0.3645011740622554,0.6200252874947317
AL,1123,LOW,LOW,0.2848573281452659,0.700767401642888
AL,1125,LOW,LOW,0.388529886914378,0.5837984040730406
AL,1127,HIGH,LOW,0.15340423349177582,0.8278220428820573
AL,1129,HIGH,LOW,0.2786151672162035,0.7101978332548281
AL,1131,HIGH,LOW,0.7102543068088597,0.28498769483182934
AL,1133,HIGH,LOW,0.08493417844953681,0.8995611896635788
AR,5001,LOW,LOW,0.31441543700340524,0.620236743959786
AR,5003,HIGH,LOW,0.29998754204559613,0.6650056060794818
AR,5005,LOW,LOW,0.2127018189249949,0.7487737584304108
AR,5007,LOW,NORMAL,0.2959198828796334,0.6444908871019075
AR,5009,LOW,LOW,0.18382352941176472,0.7682880844645551
AR,5011,LOW,LOW,0.3641139065523915,0.5980094000552945
AR,5013,LOW,LOW,0.2826666666666667,0.6906666666666667
AR,5015,LOW,LOW,0.31287537537537535,0.6356043543543544
AR,5017,HIGH,LOW,0.5664015425403712,0.4135936370209689
AR,5019,LOW,LOW,0.4310818888224746,0.5257621040047818
AR,5021,LOW,LOW,0.33439277350284374,0.6321512211441954
AR,5023,LOW,LOW,0.17555147058823528,0.7899398395721925
AR,5025,LOW,LOW,0.21915732040012126,0.7456805092452258
AR,5027,LOW,LOW,0.35532420504696166,0.6174040964128098
AR,5029,LOW,LOW,0.33877759346688785,0.6180936582876101
AR,5031,LOW,LOW,0.2995309997712194,0.6519675131548844
AR,5033,LOW,LOW,0.202031144211239,0.7517490408485669
AR,5035,LOW,LOW,0.5296873021901507,0.4401190024053678
AR,5037,LOW,LOW,0.2920509442248573,0.67003367003367
AR,5039,LOW,LOW,0.4250273622765414,0.549799343305363
AR,5041,LOW,LOW,0.5269758637008992,0.45314718409843824
AR,5043,LOW,LOW,0.3608058608058608,0.6054639804639804
AR,5045,LOW,LOW,0.3132818566128893,0.6291519282201709
AR,5047,LOW,LOW,0.20543445804717828,0.7515676321289937
AR,5049,LOW,LOW,0.22491568296795952,0.7314502529510961
AR,5051,LOW,LOW,0.3045095074001537,0.6458834320846866
AR,5053,LOW,LOW,0.20525164113785557,0.7527352297592997
AR,5055,LOW,LOW,0.21189848842046874,0.7417833864928581
AR,5057,LOW,LOW,0.33949026345933564,0.6287227949599083
AR,5059,LOW,LOW,0.2655099449851883,0.6900550148116801
AR,5061,LOW,LOW,0.29132498921018557,0.6808372895986189
AR,5063,LOW,LOW,0.2140891170125716,0.7383024622480101
AR,5065,LOW,LOW,0.20589325426241661,0.7490733876945885
AR,5067,HIGH,LOW,0.3108187708619674,0.6404869428627528
AR,5069,LOW,LOW,0.6121169645290659,0.35942062843125805
AR,5071,LOW,LOW,0.26908969656552184,0.6748916305435145
AR,5073,LOW,LOW,0.36261022927689596,0.6172839506172839
AR,5075,LOW,LOW,0.22437377864629596,0.7219754841001954
AR,5077,LOW,LOW,0.5775632490013316,0.409121171770972
AR,5079,LOW,LOW,0.3282642894598846,0.6436811746198217
AR,5081,LOW,LOW,0.2690677966101695,0.6941448382126348
AR,5083,LOW,LOW,0.21839520346983032,0.7318535527490752
AR,5085,LOW,LOW,0.21064036464170963,0.7435552566689083
AR,5087,LOW,LOW,0.2340017693895606,0.7250073724565025
AR,5089,LOW,LOW,0.20497171777314677,0.7557308722834177
AR,5091,LOW,LOW,0.26681236340930375,0.7051514205432408
